RECOMMANDATION,VID
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",549
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0005', 'OFF0009']}",550
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0009', 'OFF0022']}",551
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0007', 'OFF0022']}",552
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",553
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0016', 'OFF0024', 'OFF0022']}",554
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",555
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0001']}",556
"{'Offer': ['OFF0020', 'OFF0007', 'OFF0023', 'OFF0024', 'OFF0022']}",557
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",558
"{'Offer': ['OFF0020', 'OFF0007', 'OFF0023', 'OFF0024', 'OFF0022']}",559
"{'Offer': ['OFF0011', 'OFF0036', 'OFF0022', 'OFF0004', 'OFF0005']}",560
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0006']}",561
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",562
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0004', 'OFF0009']}",563
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0028', 'OFF0022']}",564
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0022', 'OFF0006', 'OFF0024']}",565
"{'Offer': ['OFF0023', 'OFF0024', 'OFF0021', 'OFF0022', 'OFF0007']}",566
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0006', 'OFF0009', 'OFF0027']}",567
"{'Offer': ['OFF0005', 'OFF0013', 'OFF0020', 'OFF0001', 'OFF0006']}",568
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0006', 'OFF0001', 'OFF0008']}",569
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",570
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",571
"{'Offer': ['OFF0029', 'OFF0022', 'OFF0024', 'OFF0023', 'OFF0025']}",572
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0024']}",573
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0010', 'OFF0001', 'OFF0006']}",574
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0006', 'OFF0026']}",575
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0022', 'OFF0026', 'OFF0024']}",576
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0005', 'OFF0006']}",577
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",578
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",579
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",580
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0008', 'OFF0022']}",581
"{'Offer': ['OFF0036', 'OFF0020', 'OFF0008', 'OFF0007', 'OFF0004']}",582
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",583
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0020']}",584
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",585
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",586
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",587
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0001']}",588
"{'Offer': ['OFF0031', 'OFF0007', 'OFF0006', 'OFF0009', 'OFF0008']}",589
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0005', 'OFF0006', 'OFF0004']}",590
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",591
"{'Offer': ['OFF0036', 'OFF0023', 'OFF0024', 'OFF0004', 'OFF0009']}",592
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0013', 'OFF0015', 'OFF0019']}",593
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0019', 'OFF0017', 'OFF0008']}",594
"{'Offer': ['OFF0020', 'OFF0016', 'OFF0007', 'OFF0005', 'OFF0006']}",595
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",596
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",597
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",598
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0020', 'OFF0009']}",599
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0009']}",600
"{'Offer': ['OFF0027', 'OFF0023', 'OFF0024', 'OFF0026', 'OFF0022']}",601
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",602
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0036', 'OFF0024', 'OFF0022']}",603
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",604
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",605
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0006']}",606
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0007', 'OFF0022']}",607
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0004', 'OFF0008']}",608
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0024']}",609
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",610
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",611
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0013', 'OFF0015']}",612
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",613
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0019', 'OFF0017', 'OFF0008']}",614
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0010', 'OFF0001', 'OFF0006']}",615
"{'Offer': ['OFF0027', 'OFF0020', 'OFF0026', 'OFF0009', 'OFF0022']}",616
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0001']}",617
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0016']}",618
"{'Offer': ['OFF0013', 'OFF0020', 'OFF0016', 'OFF0022', 'OFF0015']}",619
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0008', 'OFF0009']}",620
"{'Offer': ['OFF0034', 'OFF0022', 'OFF0023', 'OFF0024', 'OFF0008']}",621
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0016']}",622
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0004', 'OFF0009']}",623
"{'Offer': ['OFF0016', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0007']}",624
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",625
"{'Offer': ['OFF0015', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0013']}",626
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",627
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0001', 'OFF0022', 'OFF0006']}",628
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0006']}",629
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",630
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",631
"{'Offer': ['OFF0029', 'OFF0027', 'OFF0026', 'OFF0007', 'OFF0006']}",632
"{'Offer': ['OFF0016', 'OFF0036', 'OFF0020', 'OFF0013', 'OFF0017']}",633
"{'Offer': ['OFF0020', 'OFF0016', 'OFF0005', 'OFF0021', 'OFF0022']}",634
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0005', 'OFF0013']}",635
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",636
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",637
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0004']}",638
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0009', 'OFF0022']}",639
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0013']}",640
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0020', 'OFF0006', 'OFF0004']}",641
"{'Offer': ['OFF0027', 'OFF0026', 'OFF0022', 'OFF0009', 'OFF0024']}",642
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0004', 'OFF0022']}",643
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",644
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0013', 'OFF0017']}",645
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0013', 'OFF0001', 'OFF0006']}",646
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0027', 'OFF0026', 'OFF0005']}",647
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0004']}",648
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0007', 'OFF0022']}",649
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0008']}",650
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",651
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0004']}",652
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0007']}",653
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0001', 'OFF0006', 'OFF0008']}",654
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0024']}",655
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0008']}",656
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",657
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",658
"{'Offer': ['OFF0016', 'OFF0037', 'OFF0004', 'OFF0038', 'OFF0008']}",659
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",660
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0020', 'OFF0022']}",661
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0007']}",662
"{'Offer': ['OFF0023', 'OFF0024', 'OFF0016', 'OFF0022', 'OFF0021']}",663
"{'Offer': ['OFF0020', 'OFF0016', 'OFF0007', 'OFF0005', 'OFF0006']}",664
"{'Offer': ['OFF0031', 'OFF0022', 'OFF0023', 'OFF0024', 'OFF0008']}",665
"{'Offer': ['OFF0031', 'OFF0007', 'OFF0027', 'OFF0026', 'OFF0006']}",666
"{'Offer': ['OFF0020', 'OFF0036', 'OFF0010', 'OFF0022', 'OFF0005']}",667
"{'Offer': ['OFF0016', 'OFF0005', 'OFF0004', 'OFF0022', 'OFF0008']}",668
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0009', 'OFF0004', 'OFF0005']}",669
"{'Offer': ['OFF0020', 'OFF0036', 'OFF0007', 'OFF0004', 'OFF0005']}",670
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",671
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0006']}",672
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0020', 'OFF0009']}",673
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",674
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0024']}",675
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0005']}",676
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",677
"{'Offer': ['OFF0029', 'OFF0006', 'OFF0001', 'OFF0002', 'OFF0004']}",678
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0013', 'OFF0017']}",679
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0006', 'OFF0009', 'OFF0017']}",680
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",681
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0008']}",682
"{'Offer': ['OFF0020', 'OFF0007', 'OFF0023', 'OFF0024', 'OFF0022']}",683
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",684
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",685
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0001']}",686
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0022', 'OFF0024', 'OFF0023']}",687
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",688
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0009', 'OFF0008']}",689
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",690
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0006']}",691
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",692
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0013']}",693
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0022']}",694
"{'Offer': ['OFF0020', 'OFF0016', 'OFF0023', 'OFF0024', 'OFF0022']}",695
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",696
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0009', 'OFF0004', 'OFF0005']}",697
"{'Offer': ['OFF0031', 'OFF0016', 'OFF0020', 'OFF0013', 'OFF0017']}",698
"{'Offer': ['OFF0016', 'OFF0005', 'OFF0006', 'OFF0008', 'OFF0009']}",699
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",700
"{'Offer': ['OFF0027', 'OFF0007', 'OFF0023', 'OFF0024', 'OFF0026']}",701
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0019', 'OFF0017', 'OFF0006']}",702
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",703
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0008']}",704
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",705
"{'Offer': ['OFF0027', 'OFF0007', 'OFF0023', 'OFF0024', 'OFF0026']}",706
"{'Offer': ['OFF0020', 'OFF0011', 'OFF0023', 'OFF0024', 'OFF0022']}",707
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0036', 'OFF0024', 'OFF0022']}",708
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0016']}",709
"{'Offer': ['OFF0020', 'OFF0036', 'OFF0007', 'OFF0005', 'OFF0006']}",710
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0036', 'OFF0005']}",711
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0020']}",712
"{'Offer': ['OFF0013', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",713
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",714
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",715
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",716
"{'Offer': ['OFF0007', 'OFF0022', 'OFF0009', 'OFF0024', 'OFF0004']}",717
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0022']}",718
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0010', 'OFF0013']}",719
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0009', 'OFF0004', 'OFF0005']}",720
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0036', 'OFF0022']}",721
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0007']}",722
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",723
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0009']}",724
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",725
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0004']}",726
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0022', 'OFF0024', 'OFF0005']}",727
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",728
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0007', 'OFF0022']}",729
"{'Offer': ['OFF0036', 'OFF0020', 'OFF0004', 'OFF0009', 'OFF0010']}",730
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0005', 'OFF0006', 'OFF0009']}",731
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0013', 'OFF0017']}",732
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0008', 'OFF0009']}",733
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0022']}",734
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0024', 'OFF0022', 'OFF0006']}",735
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0021', 'OFF0005', 'OFF0013']}",736
"{'Offer': ['OFF0036', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0006']}",737
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0017']}",738
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",739
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0016']}",740
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0010', 'OFF0013', 'OFF0017']}",741
"{'Offer': ['OFF0023', 'OFF0024', 'OFF0020', 'OFF0036', 'OFF0022']}",742
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",743
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0008']}",744
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",745
"{'Offer': ['OFF0031', 'OFF0022', 'OFF0024', 'OFF0023', 'OFF0025']}",746
"{'Offer': ['OFF0020', 'OFF0036', 'OFF0016', 'OFF0013', 'OFF0004']}",747
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0016', 'OFF0005', 'OFF0008']}",748
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",749
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",750
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",751
"{'Offer': ['OFF0015', 'OFF0020', 'OFF0007', 'OFF0013', 'OFF0005']}",752
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",753
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",754
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0013', 'OFF0019', 'OFF0017']}",755
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0016']}",756
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0019']}",757
"{'Offer': ['OFF0023', 'OFF0024', 'OFF0020', 'OFF0022', 'OFF0016']}",758
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",759
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0016', 'OFF0008']}",760
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",761
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",762
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0008']}",763
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",764
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0005', 'OFF0024', 'OFF0004']}",765
"{'Offer': ['OFF0031', 'OFF0007', 'OFF0006', 'OFF0009', 'OFF0008']}",766
"{'Offer': ['OFF0020', 'OFF0036', 'OFF0005', 'OFF0006', 'OFF0008']}",767
"{'Offer': ['OFF0020', 'OFF0016', 'OFF0023', 'OFF0024', 'OFF0022']}",768
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0013', 'OFF0017']}",769
"{'Offer': ['OFF0005', 'OFF0013', 'OFF0020', 'OFF0001', 'OFF0006']}",770
"{'Offer': ['OFF0029', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0001']}",771
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0007', 'OFF0006']}",772
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0024']}",773
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0022']}",774
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0007', 'OFF0022']}",775
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",776
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",777
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0022', 'OFF0024', 'OFF0005']}",778
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0005', 'OFF0006', 'OFF0008']}",779
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",780
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0005', 'OFF0008']}",781
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0005', 'OFF0006', 'OFF0004']}",782
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0024']}",783
"{'Offer': ['OFF0031', 'OFF0008', 'OFF0001', 'OFF0007', 'OFF0005']}",784
"{'Offer': ['OFF0020', 'OFF0036', 'OFF0016', 'OFF0019', 'OFF0013']}",785
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0016']}",786
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0007', 'OFF0022']}",787
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0008']}",788
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0013']}",789
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",790
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",791
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0006']}",792
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0001']}",793
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0005', 'OFF0008']}",794
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0020', 'OFF0022']}",795
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",796
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0016']}",797
"{'Offer': ['OFF0013', 'OFF0020', 'OFF0010', 'OFF0015', 'OFF0005']}",798
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",799
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",800
"{'Offer': ['OFF0027', 'OFF0023', 'OFF0024', 'OFF0026', 'OFF0022']}",801
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",802
"{'Offer': ['OFF0016', 'OFF0005', 'OFF0004', 'OFF0008', 'OFF0001']}",803
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",804
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",805
"{'Offer': ['OFF0013', 'OFF0020', 'OFF0010', 'OFF0005', 'OFF0008']}",806
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",807
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0022', 'OFF0024', 'OFF0005']}",808
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0023', 'OFF0026', 'OFF0024']}",809
"{'Offer': ['OFF0027', 'OFF0020', 'OFF0026', 'OFF0016', 'OFF0009']}",810
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",811
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",812
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",813
"{'Offer': ['OFF0016', 'OFF0036', 'OFF0022', 'OFF0023', 'OFF0024']}",814
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",815
"{'Offer': ['OFF0007', 'OFF0028', 'OFF0006', 'OFF0008', 'OFF0009']}",816
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0013', 'OFF0017']}",817
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0027']}",818
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",819
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",820
"{'Offer': ['OFF0020', 'OFF0007', 'OFF0023', 'OFF0024', 'OFF0022']}",821
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",822
